,datetime,open,high,low,close,volume
0,2019-12-01 00:00:00,151.38,151.38,145.5,147.2,200936.262
1,2019-12-01 12:00:00,147.21,152.5,147.21,150.65,193557.857
2,2019-12-02 00:00:00,150.72,151.3,146.67,148.84,192095.566
3,2019-12-02 12:00:00,148.88,149.54,146.83,148.59,203535.344
4,2019-12-03 00:00:00,148.59,149.8,145.62,146.82,291837.788
5,2019-12-03 12:00:00,146.77,148.88,146.62,147.1,204158.785
6,2019-12-04 00:00:00,147.12,147.16,142.96,145.49,255177.117
7,2019-12-04 12:00:00,145.45,152.22,144.25,145.35,429227.7
8,2019-12-05 00:00:00,145.36,146.96,143.77,146.48,227735.9
9,2019-12-05 12:00:00,146.48,148.88,146.34,148.04,213378.012
10,2019-12-06 00:00:00,148.08,148.28,145.66,146.39,144920.758
11,2019-12-06 12:00:00,146.32,149.5,146.12,148.41,189724.459
12,2019-12-07 00:00:00,148.41,149.42,146.99,147.88,113320.097
13,2019-12-07 12:00:00,147.88,148.5,146.77,147.1,125865.213
14,2019-12-08 00:00:00,147.08,148.69,146.01,147.99,111294.095
15,2019-12-08 12:00:00,148.0,156.25,147.73,150.41,149316.775
16,2019-12-09 00:00:00,150.41,150.97,148.59,149.12,110381.435
17,2019-12-09 12:00:00,149.14,151.15,146.55,147.37,186094.014
18,2019-12-10 00:00:00,147.36,148.39,146.14,147.2,126918.007
19,2019-12-10 12:00:00,147.17,147.35,143.78,145.55,126934.591
20,2019-12-11 00:00:00,145.52,146.27,144.76,145.55,77609.16
21,2019-12-11 12:00:00,142.83,142.87,142.74,142.76,158.649
22,2019-12-12 00:00:00,143.36,144.5,139.05,144.11,197788.828
23,2019-12-12 12:00:00,144.11,145.8,141.74,144.8,174288.986
24,2019-12-13 00:00:00,144.8,145.2,143.0,144.37,93103.68
25,2019-12-13 12:00:00,144.37,145.17,143.72,144.7,89964.521
26,2019-12-14 00:00:00,144.71,144.97,142.13,143.17,78235.004
27,2019-12-14 12:00:00,143.17,143.2,141.05,141.77,108801.663
28,2019-12-15 00:00:00,141.77,144.0,139.89,142.71,150649.477
29,2019-12-15 12:00:00,142.71,143.32,141.89,142.39,80080.357
30,2019-12-16 00:00:00,142.46,142.63,140.02,141.05,119209.185
31,2019-12-16 12:00:00,141.05,142.15,128.59,132.59,434386.974
32,2019-12-17 00:00:00,132.6,132.84,130.66,132.13,121949.29
33,2019-12-17 12:00:00,132.13,132.28,119.1,121.87,491526.25
34,2019-12-18 00:00:00,121.9,125.73,120.6,121.59,323379.698
35,2019-12-18 12:00:00,121.61,134.75,115.95,132.74,690317.396
36,2019-12-19 00:00:00,132.78,133.79,125.66,125.9,337181.664
37,2019-12-19 12:00:00,125.9,129.28,125.8,128.03,300326.87
38,2019-12-20 00:00:00,128.03,128.5,125.73,127.33,164427.03
39,2019-12-20 12:00:00,127.33,129.33,126.64,128.13,182126.766
40,2019-12-21 00:00:00,128.13,128.52,126.5,127.34,112645.236
41,2019-12-21 12:00:00,127.34,127.7,126.63,126.99,95686.359
42,2019-12-22 00:00:00,126.99,130.75,126.78,129.05,151030.444
43,2019-12-22 12:00:00,129.05,133.33,128.98,132.14,292876.642
44,2019-12-23 00:00:00,132.18,135.09,130.8,133.0,292298.944
45,2019-12-23 12:00:00,132.97,134.41,126.01,127.73,406423.07
46,2019-12-24 00:00:00,127.75,129.0,126.45,128.59,235241.965
47,2019-12-24 12:00:00,128.52,129.67,126.78,127.76,262292.98
48,2019-12-25 00:00:00,127.72,127.83,123.85,124.34,211928.239
49,2019-12-25 12:00:00,124.32,125.91,123.0,125.06,243350.986
50,2019-12-26 00:00:00,125.06,126.0,124.33,125.07,148797.55
51,2019-12-26 12:00:00,125.06,132.44,124.37,125.53,434583.228
52,2019-12-27 00:00:00,125.53,126.7,122.0,123.52,235363.237
53,2019-12-27 12:00:00,123.53,127.06,122.85,126.21,332524.299
54,2019-12-28 00:00:00,126.24,128.49,125.77,127.23,272311.385
55,2019-12-28 12:00:00,127.23,129.62,126.73,128.04,196419.47
56,2019-12-29 00:00:00,128.02,129.33,127.5,129.27,138318.526
57,2019-12-29 12:00:00,129.28,138.25,128.85,134.28,633296.137
58,2019-12-30 00:00:00,134.22,136.21,132.41,133.05,329608.452
59,2019-12-30 12:00:00,133.05,133.65,130.19,131.52,362557.372
60,2019-12-31 00:00:00,131.53,132.95,130.66,131.87,232913.35
61,2019-12-31 12:00:00,131.87,133.64,128.15,129.12,414830.009
62,2020-01-01 00:00:00,129.12,131.88,128.62,130.64,205571.744
63,2020-01-01 12:00:00,130.63,132.96,129.54,130.62,260492.185
64,2020-01-02 00:00:00,130.63,130.75,128.67,129.48,235841.445
65,2020-01-02 12:00:00,129.47,129.95,126.25,127.11,287741.479
66,2020-01-03 00:00:00,127.11,132.97,125.78,132.42,469124.111
67,2020-01-03 12:00:00,132.4,135.07,130.94,134.29,481999.486
68,2020-01-04 00:00:00,134.31,134.73,132.74,133.71,233109.439
69,2020-01-04 12:00:00,133.71,135.8,132.41,134.14,276668.669
70,2020-01-05 00:00:00,134.14,137.25,134.12,135.03,278679.9
71,2020-01-05 12:00:00,135.03,138.17,134.16,135.33,390997.787
72,2020-01-06 00:00:00,135.32,142.99,134.82,141.5,519552.766
73,2020-01-06 12:00:00,141.48,144.38,139.02,144.04,575594.4
74,2020-01-07 00:00:00,144.11,145.25,142.06,142.63,315942.128
75,2020-01-07 12:00:00,142.64,145.02,138.7,142.86,647389.377
76,2020-01-08 00:00:00,142.86,147.94,142.58,143.52,515856.221
77,2020-01-08 12:00:00,143.52,143.66,137.15,140.75,692277.545
78,2020-01-09 00:00:00,140.76,141.52,137.6,138.21,433614.543
79,2020-01-09 12:00:00,138.21,139.33,135.33,137.73,523249.67
80,2020-01-10 00:00:00,137.73,139.0,135.22,138.34,343750.274
81,2020-01-10 12:00:00,138.34,145.15,137.96,144.8,564627.975
82,2020-01-11 00:00:00,144.8,145.29,142.0,142.61,350884.302
83,2020-01-11 12:00:00,142.56,148.03,142.05,142.4,481278.902
84,2020-01-12 00:00:00,142.4,145.89,141.71,143.42,320327.131
85,2020-01-12 12:00:00,143.45,146.6,143.37,146.57,309929.78
86,2020-01-13 00:00:00,146.57,147.0,142.32,142.81,292836.414
